crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
32c             1            122           58             64       52.46       10200      3352400
32c             2            258          118            140       54.26        9950     13894700
32c             4            518          232            286       55.21       13050     40316500
32c             8            998          423            575       57.62       20550    120420750
32c            16           2012          812           1200       59.64       31250    379140200
32c            32           4138         1572           2566       62.01       56350   1599116400
32c            64           8210         2878           5332       64.95      114450   6483745200
32c           128          16274         5301          10973       67.43      210600  28745048150
32c           256          32620         9911          22709       69.62      442100 124201605450
