crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
posix           1            114           48             66       57.89        9950      3561350
posix           2            215          102            113       52.56       11450      7764100
posix           4            452          219            233       51.55       14450     29879800
posix           8            937          428            509       54.32       19900    110453650
posix          16           1995          826           1169       58.60       37350    383708950
posix          32           3976         1548           2428       61.07       50250   1704495750
posix          64           7989         2902           5087       63.68      109500   6542183100
posix         128          16241         5264          10977       67.59      188350  26442880150
posix         256          32458         9906          22552       69.48      402350 121642410450
