crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
24              1             78           40             38       48.72        8650      1793500
24              2            172           85             87       50.58       10200      4950000
24              4            348          173            175       50.29       12450     12428750
24              8            750          335            415       55.33       17100     48906350
24             16           1578          660            918       58.17       26000    169659550
24             32           3128         1188           1940       62.02       45300    720146250
24             64           6250         2223           4027       64.43       92700   2714775550
24            128          12580         4054           8526       67.77      163400  10188293850
24            256          24802         7509          17293       69.72      322700  45757798000
24            512          49534        14046          35488       71.64      670500 228370578850
