crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
8               1             18           13              5       27.78        8900       395700
8               2             50           33             17       34.00       10400       677750
8               4            110           68             42       38.18       17850      1095550
8               8            242          136            106       43.80       16550      2400000
8              16            500          257            243       48.60       25050      4945100
8              32           1008          383            625       62.00       44500     67249300
8              64           2024          641           1383       68.33       75550     85700600
8             128           4058         1149           2909       71.69      152550    120011600
8             256           8130         2179           5951       73.20      307700    179589250
8             512          16270         4225          12045       74.03      551650    301015750
8            1024          32562         8320          24242       74.45     1127400    504459250
8            2048          65140        16513          48627       74.65     2263850    892960500
8            4096         130288        32895          97393       74.75     4524700   1540489850
8            8192         260584        65665         194919       74.80     9236050   4622957050
8           16384         521178       131197         389981       74.83    18354150  10106987350
8           32768        1042370       262275         780095       74.84    37664550  27226458600
8           65536        2084750       524417        1560333       74.85    75768500  56907785250
8          131072        4169522      1048704        3120818       74.85   139826000 112072670650
