crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
64              1             20           13              7       35.00        9550       789150
64              2             44           29             15       34.09       13650      1962500
64              4             92           61             31       33.70       14300      7248700
64              8            202          134             68       33.66       26400     35200000
64             16            490          343            147       30.00       35950     53682650
64             32           1448          843            605       41.78       60950    393022350
64             64           4470         2012           2458       54.99      107900   3867186850
64            128          14522         5149           9373       64.54      214200  44688796150
64            256          41800        12655          29145       69.72      422650 407210846300
