crc_name data_len starting_gates ending_gates gate_reduction compression gen_time_ns  cse_time_ns
xfer            1             33           20             13       39.39       15350      1087500
xfer            2             73           48             25       34.25       12750      1986300
xfer            4            182          115             67       36.81       16300      6960300
xfer            8            458          239            219       47.82       19650     29301900
xfer           16           1328          588            740       55.72       29650    184575700
xfer           32           3404         1320           2084       61.22       51300   1128110100
xfer           64           7424         2679           4745       63.91      117950   5272169750
xfer          128          15984         5224          10760       67.32      231300  27289919650
xfer          256          33118         9816          23302       70.36      377850 132494062150
